Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Matte Black,Size,MD,,,210000125000,,,0,0,1
time-alpe-dhuez-01-aktiv-rim-brake-complete-bike-builder,Time Alpe D'Huez 01 Aktiv Rim Brake Complete Bike Builder,Color,Matte Black,Size,LG,,,210000125001,,,0,1,1
time-alpe-dhuez-01-disc-aktiv-complete-bike-builder,Time Alpe D'Huez 01 Disc Aktiv Complete Bike Builder,Color,Gloss Red,Size,LG,,,210000124993,,,0,0,0
time-alpe-dhuez-01-disc-aktiv-complete-bike-builder,Time Alpe D'Huez 01 Disc Aktiv Complete Bike Builder,Color,Gloss Red,Size,MD,,,210000124992,,,0,0,0
time-alpe-dhuez-01-disc-aktiv-complete-bike-builder,Time Alpe D'Huez 01 Disc Aktiv Complete Bike Builder,Color,Gloss Red,Size,SM,,,210000124991,,,0,1,0
time-alpe-dhuez-01-disc-aktiv-complete-bike-builder,Time Alpe D'Huez 01 Disc Aktiv Complete Bike Builder,Color,Matte Black,Size,XL,,,210000124990,,,0,1,1
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Ready To Paint,Size,XL,,,210000128258,,,0,0,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Ready To Paint,Size,L,,,210000128257,,,0,0,1
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Grey / Matte Red,Size,XL,,,210000128259,,,0,0,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Ready To Paint,Size,S,,,210000128255,,,0,0,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Ready To Paint,Size,M,,,210000128256,,,0,0,1
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Grey / Matte Red,Size,L,,,210000128086,,,0,1,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Grey / Matte Red,Size,M,,,210000128085,,,0,1,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Grey / Matte Red,Size,S,,,210000128084,,,0,1,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Dark Blue,Size,L,,,210000111794,,,0,1,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Dark Blue,Size,S,,,210000111790,,,0,0,0
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Dark Blue,Size,XL,,,210000111796,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,MD,,,210000103147,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,XL,,,210000103149,,,0,1,1
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,SM,,,210000103146,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,LG,,,210000103148,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,XS,,,210000103145,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,Hero  Grey/White,Size,XXS,,,210000103144,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,White,Size,XXS,,,210000117616,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,White,Size,SM,,,210000117617,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,White,Size,MD,,,210000117618,,,0,0,0
time-alpe-dhuez-01-aktiv-disc-complete-bike-builder,TIME Alpe d'Huez 01 AKTIV Disc Complete Bike Builder,Color,White,Size,LG,,,210000117619,,,0,0,0
